"","hs_complete","taken_comp_classes","work_computer","computer_hours","income","job_satisfaction","retired_tech","computer_unemployment","computers_add_jobs","science_better","satisfaction_binomial","satisfaction_binom"
"1953","Yes","No","No",0,15000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1954","Yes","No","No",0,5000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1955","Yes","Yes","No",0,1152,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1956","Yes","No","No",0,5000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1957","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1958","Yes","No","No",0,13000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1959","Yes","No","No",0,7000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"1960","Yes","No","No",0,0,"Strongly dissatisfied",NA,NA,"No opinion","Strongly agree","Strongly dissatisfied",0
"1961","Yes","No","No",0,7000,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"1962","Yes","Yes","Yes",25,14000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1963","Yes","No","No",0,14000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly satisfied",1
"1964","Yes","Yes","Yes",8,38000,"Somewhat satisfied",NA,NA,"Strongly agree","Strongly agree","Somewhat satisfied",1
"1965","Yes","Yes","No",0,8000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"1966","Yes","No","No",0,0,"Strongly satisfied",NA,NA,NA,"Somewhat agree","Strongly satisfied",1
"1967","Yes","Yes","Yes",10,35000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1968","Yes","No","No",0,10000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"1969","Yes","No","Yes",41,27000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"1970","Yes","No","Yes",15,28000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"1971","Yes","No","No",0,17000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1972","Yes","No","No",0,8400,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1973","Yes","Yes","Yes",25,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1974","Yes","No","No",0,9000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1975","Yes","No","No",0,6000,NA,NA,NA,"Somewhat disagree","Somewhat agree","Not stated",NA
"1976","Yes","Yes","Yes",40,57000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly disagree","Strongly satisfied",1
"1977","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"1978","Yes","No","No",0,7000,"Somewhat satisfied",NA,"No","Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"1979","Yes","No","No",0,25000,"Strongly satisfied","No",NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"1980","Yes","Yes","Yes",41,19000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"1981","Yes","No","No",0,8500,"Strongly satisfied","Not stated",NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"1982","Yes","Yes","Yes",30,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1983","Yes","Yes","No",0,0,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"1984","Yes","No","Yes",10,20000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"1985","Yes","No","No",0,1800,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"1986","Yes","No","Yes",25,25000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1987","Yes","No","No",0,23000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"1988","Yes","Yes","No",0,7200,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1989","Yes","No","No",0,15000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat dissatisfied",0
"1990","Yes","No","No",0,20000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"1991","Yes","No","No",0,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1992","Yes","No","Yes",5,24000,"Somewhat satisfied",NA,"No","Strongly agree","Strongly agree","Somewhat satisfied",1
"1993","Yes","No","No",0,4000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"1994","Yes","Yes","Yes",10,60000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"1995","Yes","Yes","No",0,20000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1996","Yes","No","No",0,13000,"Somewhat satisfied",NA,"No","Somewhat agree","Somewhat agree","Somewhat satisfied",1
"1997","Yes","Yes","No",0,22000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"1998","Yes","Yes","No",0,33000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"1999","Yes","No","No",0,18000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"2000","No","No","No",0,20000,"Somewhat dissatisfied",NA,"Yes","Strongly disagree","Somewhat agree","Somewhat dissatisfied",0
"2001","Yes","Yes","No",0,32000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2002","Yes","Yes","No",0,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2003","Yes","No","No",0,6328,"Somewhat satisfied","No",NA,"Somewhat agree","Somewhat disagree","Somewhat satisfied",1
"2004","Yes","Yes","No",0,7000,"Strongly dissatisfied",NA,NA,"No opinion","Somewhat agree","Strongly dissatisfied",0
"2005","Yes","No","Yes",10,32000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2006","Yes","No","Yes",40,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2007","Yes","No","Yes",26,23000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"2008","Yes","Yes","Yes",25,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2009","Yes","No","No",0,23000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"2010","Yes","Yes","Yes",30,20000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2011","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2012","Yes","Yes","Yes",25,25000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2013","Yes","No","Yes",2,32000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"2014","Yes","No","Yes",35,25000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"2015","Yes","No","No",0,13000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2016","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2017","Yes","No","No",0,0,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"2018","Yes","No","Yes",8,6000,"Somewhat satisfied",NA,"No","Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2019","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2020","Yes","Yes","Yes",5,29000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2021","Yes","Yes","Yes",15,24000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"2022","Yes","No","No",0,30000,"Strongly satisfied","Not stated",NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2023","Yes","Yes","Yes",36,23000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2024","Yes","No","No",0,47000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2025","Yes","Yes","No",0,27000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2026","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2027","Yes","Yes","Yes",15,20000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2028","Yes","No","Yes",10,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2029","Yes","No","No",0,25000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2030","Yes","No","No",0,3000,"Somewhat dissatisfied","No",NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"2031","Yes","Yes","Yes",10,48000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2032","Yes","No","Yes",2,40000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2033","Yes","No","No",0,15000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2034","No","No","No",0,12000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"2035","Yes","Yes","Yes",5,8000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2036","Yes","No","No",0,12000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2037","Yes","No","No",0,22000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2038","Yes","No","No",0,16000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2039","Yes","No","No",0,15000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2040","Yes","No","No",0,6000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"2041","Yes","Yes","Yes",15,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2042","Yes","No","No",0,11000,"Strongly satisfied",NA,NA,"No opinion","Somewhat agree","Strongly satisfied",1
"2043","Yes","Yes","Yes",20,20000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2044","Yes","Yes","No",0,18500,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"2045","No","Yes","Yes",35,26000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat disagree","Strongly satisfied",1
"2046","Yes","Yes","No",0,35000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"2047","Yes","No","Yes",20,32000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"2048","Yes","No","Yes",35,18000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"2049","Yes","No","No",0,2000,"Somewhat satisfied",NA,NA,"Strongly disagree","No opinion","Somewhat satisfied",1
"2050","Yes","Yes","No",0,35000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2051","Yes","No","No",0,8500,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat dissatisfied",0
"2052","No","No","Yes",30,9000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2053","Yes","Yes","No",0,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2054","Yes","No","No",0,18000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"2055","Yes","No","Yes",2,18000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"2056","Yes","Yes","Yes",5,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2057","Yes","Yes","Yes",4,35000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2058","Yes","Yes","No",0,44000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"2059","Yes","Yes","No",0,1800,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"2060","Yes","No","No",0,20000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly dissatisfied",0
"2061","Yes","Yes","No",0,41000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"2062","Yes","Yes","No",0,7000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2063","Yes","No","No",0,12000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2064","Yes","Yes","Yes",25,24000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2065","No","No","No",0,13000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"2066","Yes","No","No",0,45000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"2067","Yes","No","No",0,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2068","No","No","Yes",35,21000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","No opinion","Somewhat dissatisfied",0
"2069","Yes","No","No",0,12000,"Strongly dissatisfied",NA,NA,"Strongly agree","Strongly agree","Strongly dissatisfied",0
"2070","Yes","Yes","Yes",20,20000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"2071","Yes","No","Yes",10,24000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2072","Yes","No","Yes",15,21000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2073","Yes","No","No",0,40000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"2074","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"2075","No","No","No",0,12000,"Strongly satisfied",NA,NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"2076","No","No","No",0,28000,"Somewhat satisfied",NA,NA,"Strongly agree","Somewhat agree","Somewhat satisfied",1
"2077","Yes","No","No",0,20000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"2078","Yes","Yes","No",0,42000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2079","Yes","No","Yes",6,40000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2080","No","No","No",0,35000,"Somewhat satisfied",NA,"No","Somewhat disagree","Strongly agree","Somewhat satisfied",1
"2081","Yes","No","No",0,17000,"Strongly satisfied",NA,NA,"Strongly agree","No opinion","Strongly satisfied",1
"2082","Yes","No","No",0,5000,"Strongly dissatisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly dissatisfied",0
"2083","Yes","No","Yes",1,24000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2084","Yes","No","No",0,21000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2085","Yes","Yes","Yes",6,37000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"2086","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2087","Yes","Yes","Yes",5,60000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2088","Yes","Yes","Yes",27,45000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2089","Yes","No","No",0,28000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"2090","Yes","No","Yes",30,29000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2091","Yes","Yes","Yes",2,35000,"Somewhat satisfied",NA,NA,"Strongly disagree","No opinion","Somewhat satisfied",1
"2092","Yes","Yes","No",0,26000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"2093","Yes","No","Yes",40,22000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2094","Yes","No","Yes",40,48000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2095","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2096","Yes","No","No",0,7300,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"2097","Yes","No","No",0,3000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2098","Yes","Yes","No",0,22000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"2099","Yes","Yes","Yes",5,20000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2100","Yes","Yes","No",0,19000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat satisfied",1
"2101","Yes","Yes","Yes",25,33000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat dissatisfied",0
"2102","Yes","Yes","No",0,3400,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2103","Yes","No","No",0,18000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2104","Yes","No","No",0,15000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2105","Yes","Yes","Yes",35,25000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"2106","No","No","No",0,7920,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"2107","Yes","Yes","Yes",40,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly satisfied",1
"2108","Yes","No","No",0,22000,"Strongly satisfied",NA,NA,"No opinion","No opinion","Strongly satisfied",1
"2109","Yes","No","No",0,0,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2110","Yes","No","Yes",38,1700,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly disagree","Strongly satisfied",1
"2111","Yes","No","No",0,12000,"Somewhat dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat dissatisfied",0
"2112","Yes","No","No",0,30000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"2113","Yes","No","No",0,26000,"Somewhat satisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat satisfied",1
"2114","Yes","No","No",0,32000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"2115","Yes","Yes","Yes",3,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2116","Yes","Yes","Yes",22,30000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2117","Yes","No","No",0,51300,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"2118","Yes","No","Yes",25,18000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"2119","No","Yes","No",0,31000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2120","Yes","No","Yes",3,60000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2121","Yes","No","Yes",12,32000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2122","Yes","No","No",0,11000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2123","Yes","No","No",0,1476,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2124","Yes","No","No",0,28000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2125","Yes","No","No",0,6000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2126","Yes","Yes","Yes",35,25000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2127","Yes","No","Yes",1,37000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat satisfied",1
"2128","Yes","Yes","No",0,45000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2129","No","No","No",0,19000,"Somewhat satisfied",NA,NA,"No opinion","Somewhat agree","Somewhat satisfied",1
"2130","No","No","Yes",3,25000,"Strongly satisfied",NA,"No","Somewhat agree","Somewhat agree","Strongly satisfied",1
"2131","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly satisfied",1
"2132","Yes","No","Yes",1,16000,"Strongly satisfied",NA,"No","Strongly agree","Strongly agree","Strongly satisfied",1
"2133","Yes","Yes","No",0,30000,"Somewhat satisfied","No",NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2134","Yes","No","No",0,60000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2135","Yes","No","No",0,30000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"2136","Yes","No","No",0,20000,"Strongly dissatisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly dissatisfied",0
"2137","Yes","Yes","Yes",20,19000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2138","Yes","Yes","Yes",1,30000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
"2139","Yes","No","No",0,30000,"Strongly dissatisfied",NA,NA,"No opinion","Somewhat disagree","Strongly dissatisfied",0
"2140","Yes","No","No",0,10000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2141","Yes","No","No",0,25000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2142","Yes","Yes","Yes",20,36000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2143","Yes","No","No",0,55000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2144","Yes","Yes","Yes",20,30000,"Strongly satisfied",NA,NA,"Strongly disagree","Strongly agree","Strongly satisfied",1
"2145","Yes","No","No",0,15000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Somewhat disagree","Somewhat dissatisfied",0
"2146","Yes","No","No",0,34000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2147","Yes","No","No",0,35000,"Strongly satisfied",NA,NA,"No opinion","Strongly agree","Strongly satisfied",1
"2148","Yes","No","No",0,10000,"Strongly satisfied",NA,NA,"Somewhat agree","Strongly agree","Strongly satisfied",1
"2149","Yes","No","Yes",40,25000,"Somewhat dissatisfied",NA,"No","Somewhat disagree","Somewhat agree","Somewhat dissatisfied",0
"2150","Yes","No","No",0,15000,"Somewhat satisfied",NA,NA,"No opinion","Strongly agree","Somewhat satisfied",1
"2151","No","Yes","No",0,10000,"Strongly satisfied",NA,NA,"Strongly disagree","Somewhat disagree","Strongly satisfied",1
"2152","Yes","No","No",0,8000,"Strongly dissatisfied",NA,NA,"Somewhat disagree","Somewhat agree","Strongly dissatisfied",0
"2153","Yes","No","No",0,52000,"Strongly dissatisfied",NA,"No","Somewhat disagree","Strongly agree","Strongly dissatisfied",0
"2154","Yes","Yes","No",0,26000,"Somewhat dissatisfied",NA,NA,"Strongly disagree","Strongly agree","Somewhat dissatisfied",0
"2155","Yes","No","Yes",20,55000,"Strongly satisfied",NA,NA,"Somewhat disagree","Somewhat disagree","Strongly satisfied",1
"2156","Yes","No","No",0,26000,"Somewhat satisfied","No",NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2157","Yes","Yes","No",0,45000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2158","Yes","No","No",0,20000,"Strongly satisfied","No",NA,"Strongly disagree","Somewhat agree","Strongly satisfied",1
"2159","Yes","No","No",0,20000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat disagree","Strongly satisfied",1
"2160","Yes","No","No",0,18000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Somewhat agree","Somewhat satisfied",1
"2161","Yes","No","No",0,35000,"Somewhat dissatisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat dissatisfied",0
"2162","Yes","Yes","Yes",35,25000,"Somewhat satisfied",NA,NA,"Somewhat agree","Strongly agree","Somewhat satisfied",1
"2163","Yes","Yes","Yes",20,41000,"Strongly satisfied",NA,NA,"Somewhat disagree","Strongly agree","Strongly satisfied",1
"2164","Yes","Yes","No",0,25000,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2165","Yes","No","Yes",2,25000,"Somewhat satisfied",NA,NA,"Somewhat disagree","Strongly agree","Somewhat satisfied",1
"2166","Yes","Yes","No",0,12000,"Somewhat satisfied",NA,NA,"Strongly disagree","Somewhat agree","Somewhat satisfied",1
"2167","Yes","No","No",0,2000,"Strongly satisfied",NA,NA,"Strongly agree","Somewhat agree","Strongly satisfied",1
"2168","Yes","Yes","No",0,25000,"Somewhat satisfied",NA,NA,"Somewhat agree","Somewhat agree","Somewhat satisfied",1
"2169","Yes","No","No",0,17000,"Strongly satisfied","No",NA,"Somewhat disagree","No opinion","Strongly satisfied",1
"2170","Yes","No","No",0,360,"Strongly satisfied",NA,NA,"Somewhat agree","Somewhat agree","Strongly satisfied",1
"2171","Yes","Yes","Yes",10,50000,"Strongly satisfied",NA,NA,"Strongly agree","Strongly agree","Strongly satisfied",1
